CGI_ID,SPID,evalue,Description,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Column7
CGI_10000001,Q9CR41,2E-29,Huntingtin-interacting protein K,,,,,,,
CGI_10000002,Q25381,2E-50,"Actin, muscle",,,,,,,
CGI_10000003,Q5M8C6,3E-13,Fibrinogen-like protein 1,,,,,,,
CGI_10000011,D2GXS7,1E-09,Tripartite motif-containing protein 2,,,,,,,
CGI_10000012,P07813,4E-142,Leucine--tRNA ligase,,,,,,,
CGI_10000013,P49411,2E-32,"Elongation factor Tu, mitochondrial",,,,,,,
CGI_10000015,Q9BYW2,3E-38,Histone-lysine N-methyltransferase SETD2,,,,,,,
CGI_10000016,P86854,2E-12,Perlucin-like protein,,,,,,,
CGI_10000019,Q5JXM2,9E-09,UPF0624 protein C6orf186,,,,,,,
CGI_10000021,Q92090,4E-07,Cytochrome P450 2K1,,,,,,,
CGI_10000024,D2GXS7,1E-07,Tripartite motif-containing protein 2,,,,,,,
CGI_10000027,P76069,1E-62,.,,,,,,,
CGI_10000028,A1L258,5E-51,"D-2-hydroxyglutarate dehydrogenase, mitochondrial",,,,,,,
CGI_10000029,Q5BK09,6E-15,DNA damage-regulated autophagy modulator protein 2,,,,,,,
CGI_10000030,Q9Y324,3E-51,rRNA-processing protein FCF1 homolog,,,,,,,
CGI_10000032,Q16YG0,5E-29,Cdc42 homolog,,,,,,,
CGI_10000033,P47835,8E-65,40S ribosomal protein S3-B,,,,,,,
CGI_10000034,P20481,2E-08,Buccalin,CGI_10000034,24.843960742004,1.53915782883132,0.441859597134538,3.48336403421532,0.000495154564607918,0.00558650855834109
CGI_10000035,Q99NE9,9E-12,Pre-B-cell leukemia transcription factor 4,,,,,,,
CGI_10000038,Q9Y600,2E-86,Cysteine sulfinic acid decarboxylase,CGI_10000038,442.280996156497,3.14918985753354,0.338917839876778,9.29189758402362,1.51561727565128E-20,1.32134269759053E-17
CGI_10000040,Q64680,2E-08,Cytochrome P450 2D18,,,,,,,
CGI_10000041,P10817,4E-08,"Cytochrome c oxidase subunit 6A2, mitochondrial",,,,,,,
CGI_10000043,Q8NE22,4E-41,.,,,,,,,
CGI_10000045,P55142,4E-19,Glutaredoxin-C6,,,,,,,
CGI_10000047,P0AAW7,2E-75,Inner membrane protein ybhQ,,,,,,,
CGI_10000049,Q6QN04,7E-43,"DNA-directed RNA polymerases I, II, and III subunit RPABC5",,,,,,,
CGI_10000050,Q9YHT2,2E-102,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",,,,,,,
CGI_10000051,Q5RF33,1E-49,Down syndrome critical region protein 3 homolog,,,,,,,
CGI_10000052,A7Y2W8,1E-39,Sodium- and chloride-dependent glycine transporter 1,CGI_10000052,141.474372787837,1.44028645476959,0.543464288579468,2.65019521068123,0.0080445274939067,0.044439526881662
CGI_10000055,P84245,3E-90,Histone H3.3,,,,,,,
CGI_10000056,Q9H892,7E-20,Tetratricopeptide repeat protein 12,,,,,,,
CGI_10000057,Q5JXM2,8E-13,UPF0624 protein C6orf186,,,,,,,
CGI_10000058,Q2KJJ0,6E-16,Pre-mRNA-processing factor 6,,,,,,,
CGI_10000063,P51593,6E-97,E3 ubiquitin-protein ligase HUWE1,,,,,,,
CGI_10000066,P23038,6E-08,Metallothionein,,,,,,,
CGI_10000067,Q2HJ57,1E-29,Coactosin-like protein,,,,,,,
CGI_10000069,Q8C8N3,2E-06,Brorin,,,,,,,
CGI_10000070,Q08623,4E-61,Pseudouridine-5'-monophosphatase,,,,,,,
CGI_10000071,Q03958,7E-24,Prefoldin subunit 6,,,,,,,
CGI_10000072,A2AJT4,5E-15,Arginine/serine-rich protein PNISR,,,,,,,
CGI_10000073,P47727,5E-105,Carbonyl reductase [NADPH] 1,,,,,,,
CGI_10000075,Q78P75,3E-59,"Dynein light chain 2, cytoplasmic",,,,,,,
CGI_10000077,P37380,4E-46,60S ribosomal protein L17,,,,,,,
CGI_10000078,P53442,1E-55,Fructose-bisphosphate aldolase,,,,,,,
CGI_10000080,P40312,5E-20,Cytochrome b5,,,,,,,
CGI_10000082,Q6P026,2E-49,Barrier-to-autointegration factor,,,,,,,
CGI_10000083,P17371,2E-07,.,,,,,,,
CGI_10000084,Q6DF11,1E-46,FGFR1 oncogene partner 2 homolog,,,,,,,
CGI_10000085,Q6PBF0,2E-40,60S ribosomal protein L8,,,,,,,
CGI_10000086,O14832,7E-37,"Phytanoyl-CoA dioxygenase, peroxisomal",,,,,,,
CGI_10000087,Q9ESN6,2E-07,Tripartite motif-containing protein 2,,,,,,,
CGI_10000088,D8VNS7,3E-38,Ryncolin-1,,,,,,,
CGI_10000090,Q8VCG3,9E-72,WD repeat-containing protein 74,,,,,,,
CGI_10000092,Q2TA11,1E-21,.,,,,,,,
CGI_10000093,Q9H3K2,4E-36,Growth hormone-inducible transmembrane protein,,,,,,,
CGI_10000095,Q96M53,6E-06,Protein SPATIAL,,,,,,,
CGI_10000096,Q0P5Y3,2E-23,Tubulin polymerization-promoting protein family member 2,,,,,,,
CGI_10000098,Q04688,8E-31,DNA-binding protein Ets97D,,,,,,,
CGI_10000100,Q5ZJY5,1E-21,Structural maintenance of chromosomes protein 5,,,,,,,
CGI_10000102,Q5U508,2E-43,Tubulin-specific chaperone E,,,,,,,
CGI_10000110,Q9EPT4,9E-15,"Cholesterol side-chain cleavage enzyme, mitochondrial",,,,,,,
CGI_10000112,Q14562,2E-48,ATP-dependent RNA helicase DHX8,,,,,,,
CGI_10000113,Q9UPM9,5E-89,B9 domain-containing protein 1,,,,,,,
CGI_10000115,Q9HQ19,3E-29,Cobalamin import system permease protein BtuC,,,,,,,
CGI_10000120,D2GXS7,7E-08,Tripartite motif-containing protein 2,,,,,,,
CGI_10000122,B0W2S0,7E-12,Protein KIAA0664 homolog,,,,,,,
CGI_10000124,Q9BEA9,1E-57,Glutathione S-transferase Mu 3,,,,,,,
CGI_10000126,Q8WZ42,7E-14,Titin,,,,,,,
CGI_10000129,Q9NRZ9,1E-47,Lymphoid-specific helicase,,,,,,,
CGI_10000130,P07607,8E-63,Thymidylate synthase,,,,,,,
CGI_10000131,Q6NXH2,5E-160,"Glycoprotein endo-alpha-1,2-mannosidase",,,,,,,
CGI_10000135,Q9ULC5,3E-22,Long-chain-fatty-acid--CoA ligase 5,,,,,,,
CGI_10000136,A1YG61,1E-23,ETS homologous factor,,,,,,,
CGI_10000137,P39963,3E-43,G2/mitotic-specific cyclin-B3,,,,,,,
CGI_10000138,Q9ERU9,1E-12,E3 SUMO-protein ligase RanBP2,,,,,,,
CGI_10000141,B2RS91,3E-16,RNA polymerase I-specific transcription initiation factor RRN3,,,,,,,
CGI_10000144,Q9BYK8,3E-68,Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein,CGI_10000144,533.125486876439,2.75354847377467,0.455651299010453,6.04310462793501,1.51176547101564E-09,1.3612986729615E-07
CGI_10000145,Q91755,2E-31,"Glutamate receptor, ionotropic kainate 2",,,,,,,
CGI_10000146,P76062,4E-111,Rac prophage repressor,,,,,,,
CGI_10000147,P46778,4E-70,60S ribosomal protein L21,,,,,,,
CGI_10000156,O70277,3E-10,Tripartite motif-containing protein 3,CGI_10000156,121.117119324957,-0.759931833686753,0.286406327274701,-2.65333465541031,0.00797008077256335,0.0441299506979691
CGI_10000157,Q63528,5E-25,Replication protein A 32 kDa subunit,,,,,,,
CGI_10000158,P30769,6E-50,Probable ribonucleotide transport ATP-binding protein mkl,,,,,,,
CGI_10000159,Q4UNC7,2E-44,Probable ABC transporter permease protein RF_0080,,,,,,,
CGI_10000162,P23876,1E-159,Ferric enterobactin transport system permease protein fepD,,,,,,,
CGI_10000163,Q8WV92,6E-67,MIT domain-containing protein 1,,,,,,,
CGI_10000164,Q5GFD8,3E-06,Protein IMPACT,,,,,,,
CGI_10000165,Q9NWZ3,2E-46,Interleukin-1 receptor-associated kinase 4,CGI_10000165,57.1222916261774,1.48889641186341,0.350430831946874,4.24875974408874,2.14957306708155E-05,0.000471725531197072
CGI_10000166,Q9NWZ3,1E-10,Interleukin-1 receptor-associated kinase 4,CGI_10000166,72.0939115320227,2.0269928731178,0.472196836402071,4.29268626313251,1.76524355150745E-05,0.000404938249564654
CGI_10000174,O61462,2E-25,60S ribosomal protein L37a,,,,,,,
CGI_10000175,A5D7P8,8E-52,SOSS complex subunit B2,,,,,,,
CGI_10000181,O35594,4E-24,Intraflagellar transport protein 81 homolog,,,,,,,
CGI_10000183,Q91ZZ5,6E-68,Relaxin receptor 2,CGI_10000183,18.9133672230785,-1.65381864433273,0.50317602474747,-3.28675962882519,0.00101347301679519,0.00956144243095514
CGI_10000187,O75382,1E-08,Tripartite motif-containing protein 3,CGI_10000187,92.8885292370538,-1.20723598408534,0.449271963696583,-2.68709396898991,0.00720766724899904,0.0409609060254227
CGI_10000190,Q8R2Q0,4E-06,Tripartite motif-containing protein 29,,,,,,,
CGI_10000191,Q96G46,3E-58,tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like,,,,,,,
CGI_10000192,Q9UP83,3E-24,Conserved oligomeric Golgi complex subunit 5,,,,,,,
CGI_10000194,P49165,2E-137,60S ribosomal protein L4,,,,,,,
CGI_10000195,A5D6U8,2E-29,Iron/zinc purple acid phosphatase-like protein,,,,,,,
CGI_10000199,Q6GLP4,1E-117,.,,,,,,,
CGI_10000206,P81112,1E-06,Alboaggregin-A subunit 2,,,,,,,
CGI_10000210,Q6DHJ1,1E-52,tRNA wybutosine-synthesizing protein 3 homolog,,,,,,,
CGI_10000212,D8VNS7,7E-60,Ryncolin-1,,,,,,,
CGI_10000213,P34586,2E-07,Transient-receptor-potential-like protein,,,,,,,
CGI_10000214,Q9I931,2E-16,Fucolectin-1,,,,,,,
CGI_10000215,Q8VCG3,2E-70,WD repeat-containing protein 74,CGI_10000215,46.751753047612,-1.68927820801104,0.372950652570576,-4.52949524653631,5.91247644086957E-06,0.000162932899620515
CGI_10000218,Q9H116,1E-24,GDNF-inducible zinc finger protein 1,CGI_10000218,12.5470483958353,2.17457255095278,0.526083491652696,4.13351223799353,3.57261263285209E-05,0.000718267403544057
CGI_10000220,O35783,9E-31,Calumenin,,,,,,,
CGI_10000222,Q2VYV2,5E-64,Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp,,,,,,,
CGI_10000223,P60510,9E-64,Serine/threonine-protein phosphatase 4 catalytic subunit,,,,,,,
CGI_10000224,A3KMV5,2E-18,Ubiquitin-like modifier-activating enzyme 1,,,,,,,
CGI_10000225,O95786,7E-12,Probable ATP-dependent RNA helicase DDX58,,,,,,,
CGI_10000226,P25785,5E-07,Metalloproteinase inhibitor 2,,,,,,,
CGI_10000229,Q9ESN6,2E-11,Tripartite motif-containing protein 2,,,,,,,
CGI_10000235,Q9CXW3,4E-19,Calcyclin-binding protein,,,,,,,
CGI_10000236,Q9ESN6,6E-13,Tripartite motif-containing protein 2,,,,,,,
CGI_10000237,Q29HY3,3E-121,Cdc42 homolog,,,,,,,
CGI_10000242,Q5F3X4,2E-69,116 kDa U5 small nuclear ribonucleoprotein component,,,,,,,
CGI_10000246,Q04609,7E-22,Glutamate carboxypeptidase 2,,,,,,,
CGI_10000247,Q5ZLC8,6E-31,.,,,,,,,
CGI_10000248,B1H234,2E-27,Leucine-rich repeat transmembrane protein FLRT3,,,,,,,
CGI_10000256,P42742,3E-36,Proteasome subunit beta type-1,,,,,,,
CGI_10000258,Q9W770,3E-07,Spondin-1,,,,,,,
CGI_10000259,Q5RDB5,2E-53,Protein cornichon homolog,,,,,,,
CGI_10000261,Q9I8C7,3E-28,Neuronal acetylcholine receptor subunit alpha-10,,,,,,,
CGI_10000262,Q8BKN5,1E-26,Gamma-tubulin complex component 5,,,,,,,
CGI_10000263,Q6DIS2,7E-07,Protein CDV3 homolog,,,,,,,
CGI_10000265,Q08420,2E-12,Extracellular superoxide dismutase [Cu-Zn],,,,,,,
CGI_10000266,Q9VWA8,6E-74,Protein FRG1 homolog,,,,,,,
CGI_10000267,P38652,2E-47,Phosphoglucomutase-1,,,,,,,
CGI_10000268,P48597,2E-34,Eukaryotic translation initiation factor 4E,,,,,,,
CGI_10000271,P11442,6E-34,Clathrin heavy chain 1,,,,,,,
CGI_10000273,O35566,4E-26,CD151 antigen,,,,,,,
CGI_10000275,Q14162,1E-22,Scavenger receptor class F member 1,,,,,,,
CGI_10000279,O43301,4E-27,Heat shock 70 kDa protein 12A,,,,,,,
CGI_10000280,Q8WPJ2,5E-89,"Mannan endo-1,4-beta-mannosidase",,,,,,,
CGI_10000281,Q62737,3E-24,Cytochrome b-245 light chain,CGI_10000281,221.107640822719,-0.974387221746002,0.251394349270755,-3.87593127917357,0.000106217661493855,0.00170196720756235
CGI_10000284,Q5RHH4,0,Intraflagellar transport protein 172 homolog,,,,,,,
CGI_10000286,P10079,2E-91,Fibropellin-1,CGI_10000286,183.049885175931,1.94455924281212,0.513310098077784,3.78827389154042,0.000151697563519912,0.00224329935876014
CGI_10000291,Q9VAI0,6E-19,Probable glucosamine 6-phosphate N-acetyltransferase,,,,,,,
CGI_10000293,O35142,6E-80,Coatomer subunit beta',CGI_10000293,186.164813949828,1.43605252485976,0.425591486655022,3.37425105973467,0.000740168285192831,0.0075795129257867
CGI_10000296,Q29RH4,1E-40,THO complex subunit 3,,,,,,,
CGI_10000300,Q6R7B1,5E-25,Uncharacterized protein ORF115,CGI_10000300,166.825532252415,1.66117117788036,0.479806609838054,3.46216818155349,0.000535842200672934,0.00592019205582193
CGI_10000304,Q4R4Y9,2E-24,Eukaryotic initiation factor 4A-II,CGI_10000304,457.725645630953,0.827918772867262,0.300676959640004,2.75351584590491,0.00589589159759171,0.0354492792607552
CGI_10000307,Q32PI6,2E-59,"39S ribosomal protein L4, mitochondrial",,,,,,,
CGI_10000309,O75352,4E-15,Mannose-P-dolichol utilization defect 1 protein,,,,,,,
CGI_10000313,Q5JTH9,2E-17,RRP12-like protein,,,,,,,
CGI_10000317,Q8C525,3E-08,Protein MB21D2,,,,,,,
CGI_10000319,Q95254,1E-11,Growth hormone secretagogue receptor type 1,,,,,,,
